2025-10-30T09:36:02.546+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Running preprocessing …
2025-10-30T09:36:02.546+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing: rating …
2025-10-30T09:36:02.546+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:121 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loading raw dataframes from repository
2025-10-30T09:36:04.590+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:55 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded recipes: 231637 rows
2025-10-30T09:36:06.928+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:64 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded interactions: 1132367 rows
2025-10-30T09:36:06.928+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:125 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Cleaning dataframes
2025-10-30T09:36:06.957+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:128 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing dataframes
2025-10-30T09:36:07.022+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\rating\analyzers.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Computing per-recipe rating statistics with extended metrics
2025-10-30T09:36:25.239+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\rating\analyzers.py:263 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Writing rating_table.csv and rating_summary.csv
2025-10-30T09:36:25.893+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing: seasonality …
2025-10-30T09:36:25.893+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:121 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loading raw dataframes from repository
2025-10-30T09:36:27.947+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:55 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded recipes: 231637 rows
2025-10-30T09:36:30.363+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:64 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded interactions: 1132367 rows
2025-10-30T09:36:30.363+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:125 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Cleaning dataframes
2025-10-30T09:36:30.363+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:128 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing dataframes
2025-10-30T09:36:30.363+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\seasonality\analyzers.py:69 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Computing seasonality features for recipes based on user interaction data
2025-10-30T09:36:30.722+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\seasonality\analyzers.py:155 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Writing seasonality_table.csv and seasonality_summary.csv
2025-10-30T09:36:31.245+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing: nutrition …
2025-10-30T09:36:31.245+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:121 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loading raw dataframes from repository
2025-10-30T09:36:33.477+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:55 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded recipes: 231637 rows
2025-10-30T09:36:36.241+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:64 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded interactions: 1132367 rows
2025-10-30T09:36:36.241+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:125 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Cleaning dataframes
2025-10-30T09:36:36.241+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:128 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing dataframes
2025-10-30T09:36:39.805+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing: complexity …
2025-10-30T09:36:39.806+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:121 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loading raw dataframes from repository
2025-10-30T09:36:42.123+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:55 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded recipes: 231637 rows
2025-10-30T09:36:44.670+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:64 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded interactions: 1132367 rows
2025-10-30T09:36:44.670+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:125 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Cleaning dataframes
2025-10-30T09:36:44.670+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:128 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing dataframes
2025-10-30T09:36:44.670+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\steps\analysers.py:25 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Analyzing recipe complexity by steps and ingredients
2025-10-30T09:36:44.815+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\feature\steps\analysers.py:105 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Writing steps_analysis.csv and steps_summary.csv
2025-10-30T09:36:45.631+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing: ingredients axes …
2025-10-30T09:36:45.631+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:121 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loading raw dataframes from repository
2025-10-30T09:36:47.850+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:55 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded recipes: 231637 rows
2025-10-30T09:36:50.365+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\repositories.py:64 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Loaded interactions: 1132367 rows
2025-10-30T09:36:50.365+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:125 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Cleaning dataframes
